"key_ID","notification_ID","notification_by_ID","notification_by","notification_by_code","start_date","start_year","end_date","end_year","opinion_ID","opinion_by_ID","opinion_by","opinion_by_code"
139,"TRIS:1989:0227:DE:N",3,"Germany","DE",1989-09-18,1989,1990-03-26,1990,"TRIS:1989:0227:DE:O:EC",34,"Commission","EC"
140,"TRIS:1989:0228:BE:N",1,"Belgium","BE",1989-09-18,1989,1990-03-21,1990,"TRIS:1989:0228:BE:O:FR",2,"France","FR"
141,"TRIS:1989:0229:NL:N",6,"Netherlands","NL",1989-09-18,1989,1990-03-23,1990,"TRIS:1989:0229:NL:O:EC",34,"Commission","EC"
142,"TRIS:1989:0229:NL:N",6,"Netherlands","NL",1989-09-18,1989,1990-03-23,1990,"TRIS:1989:0229:NL:O:UK",9,"United Kingdom","UK"
143,"TRIS:1989:0232:FR:N",2,"France","FR",1989-09-22,1989,1990-03-23,1990,"TRIS:1989:0232:FR:O:DE",3,"Germany","DE"
144,"TRIS:1989:0233:ES:N",12,"Spain","ES",1989-09-25,1989,1990-04-10,1990,"TRIS:1989:0233:ES:O:EC",34,"Commission","EC"
145,"TRIS:1989:0234:ES:N",12,"Spain","ES",1989-09-25,1989,1990-04-10,1990,"TRIS:1989:0234:ES:O:EC",34,"Commission","EC"
146,"TRIS:1989:0234:ES:N",12,"Spain","ES",1989-09-25,1989,1990-04-10,1990,"TRIS:1989:0234:ES:O:UK",9,"United Kingdom","UK"
147,"TRIS:1989:0235:BE:N",1,"Belgium","BE",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0235:BE:O:EC",34,"Commission","EC"
148,"TRIS:1989:0235:BE:N",1,"Belgium","BE",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0235:BE:O:ES",12,"Spain","ES"
149,"TRIS:1989:0236:LU:N",5,"Luxembourg","LU",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0236:LU:O:EC",34,"Commission","EC"
150,"TRIS:1989:0236:LU:N",5,"Luxembourg","LU",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0236:LU:O:ES",12,"Spain","ES"
151,"TRIS:1989:0237:NL:N",6,"Netherlands","NL",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0237:NL:O:EC",34,"Commission","EC"
152,"TRIS:1989:0237:NL:N",6,"Netherlands","NL",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0237:NL:O:ES",12,"Spain","ES"
153,"TRIS:1989:0238:BE:N",1,"Belgium","BE",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0238:BE:O:EC",34,"Commission","EC"
154,"TRIS:1989:0239:LU:N",5,"Luxembourg","LU",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0239:LU:O:EC",34,"Commission","EC"
155,"TRIS:1989:0240:NL:N",6,"Netherlands","NL",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0240:NL:O:EC",34,"Commission","EC"
156,"TRIS:1989:0241:BE:N",1,"Belgium","BE",1989-09-29,1989,1990-04-23,1990,"TRIS:1989:0241:BE:O:EC",34,"Commission","EC"
157,"TRIS:1989:0243:DE:N",3,"Germany","DE",1989-09-29,1989,1990-05-07,1990,"TRIS:1989:0243:DE:O:EC",34,"Commission","EC"
158,"TRIS:1989:0244:DK:N",7,"Denmark","DK",1989-10-02,1989,1990-06-08,1990,"TRIS:1989:0244:DK:O:EC",34,"Commission","EC"
159,"TRIS:1989:0245:FR:N",2,"France","FR",1989-10-03,1989,1990-04-04,1990,"TRIS:1989:0245:FR:O:EC",34,"Commission","EC"
160,"TRIS:1989:0246:FR:N",2,"France","FR",1989-10-04,1989,1990-04-05,1990,"TRIS:1989:0246:FR:O:DE",3,"Germany","DE"
161,"TRIS:1989:0248:FR:N",2,"France","FR",1989-10-04,1989,1990-04-05,1990,"TRIS:1989:0248:FR:O:EL",10,"Greece","EL"
162,"TRIS:1989:0248:FR:N",2,"France","FR",1989-10-04,1989,1990-04-05,1990,"TRIS:1989:0248:FR:O:UK",9,"United Kingdom","UK"
163,"TRIS:1989:0256:ES:N",12,"Spain","ES",1989-10-23,1989,1990-11-07,1990,"TRIS:1989:0256:ES:O:EC",34,"Commission","EC"
164,"TRIS:1989:0256:ES:N",12,"Spain","ES",1989-10-23,1989,1990-11-07,1990,"TRIS:1989:0256:ES:O:UK",9,"United Kingdom","UK"
165,"TRIS:1989:0258:EL:N",10,"Greece","EL",1989-10-24,1989,1990-04-24,1990,"TRIS:1989:0258:EL:O:EC",34,"Commission","EC"
166,"TRIS:1989:0260:DK:N",7,"Denmark","DK",1989-10-30,1989,1990-05-11,1990,"TRIS:1989:0260:DK:O:EC",34,"Commission","EC"
167,"TRIS:1989:0261:DK:N",7,"Denmark","DK",1989-10-31,1989,1990-07-31,1990,"TRIS:1989:0261:DK:O:EC",34,"Commission","EC"
