"key_ID","year","comment_by_ID","comment_by","comment_by_code","notification_by_ID","notification_by","notification_by_code","count_comments"
414,1995,3,"Germany","DE",6,"Netherlands","NL",2
415,1995,3,"Germany","DE",7,"Denmark","DK",1
416,1995,3,"Germany","DE",9,"United Kingdom","UK",5
417,1995,3,"Germany","DE",13,"Austria","AT",1
418,1995,3,"Germany","DE",14,"Finland","FI",1
419,1995,4,"Italy","IT",1,"Belgium","BE",3
420,1995,4,"Italy","IT",2,"France","FR",13
421,1995,4,"Italy","IT",3,"Germany","DE",4
422,1995,4,"Italy","IT",6,"Netherlands","NL",3
423,1995,4,"Italy","IT",7,"Denmark","DK",5
424,1995,4,"Italy","IT",9,"United Kingdom","UK",6
425,1995,4,"Italy","IT",10,"Greece","EL",3
426,1995,4,"Italy","IT",11,"Portugal","PT",1
427,1995,4,"Italy","IT",12,"Spain","ES",6
428,1995,4,"Italy","IT",13,"Austria","AT",1
429,1995,4,"Italy","IT",15,"Sweden","SE",2
430,1995,6,"Netherlands","NL",1,"Belgium","BE",1
431,1995,6,"Netherlands","NL",3,"Germany","DE",3
432,1995,6,"Netherlands","NL",5,"Luxembourg","LU",1
433,1995,6,"Netherlands","NL",7,"Denmark","DK",1
434,1995,6,"Netherlands","NL",9,"United Kingdom","UK",2
435,1995,6,"Netherlands","NL",12,"Spain","ES",1
436,1995,6,"Netherlands","NL",13,"Austria","AT",2
437,1995,7,"Denmark","DK",1,"Belgium","BE",1
438,1995,7,"Denmark","DK",3,"Germany","DE",1
439,1995,7,"Denmark","DK",6,"Netherlands","NL",1
440,1995,9,"United Kingdom","UK",2,"France","FR",1
441,1995,9,"United Kingdom","UK",3,"Germany","DE",2
442,1995,9,"United Kingdom","UK",4,"Italy","IT",6
443,1995,9,"United Kingdom","UK",6,"Netherlands","NL",7
444,1995,9,"United Kingdom","UK",10,"Greece","EL",2
445,1995,9,"United Kingdom","UK",11,"Portugal","PT",1
446,1995,9,"United Kingdom","UK",12,"Spain","ES",1
447,1995,9,"United Kingdom","UK",13,"Austria","AT",1
448,1995,11,"Portugal","PT",7,"Denmark","DK",1
449,1995,11,"Portugal","PT",13,"Austria","AT",1
450,1995,12,"Spain","ES",1,"Belgium","BE",4
451,1995,12,"Spain","ES",4,"Italy","IT",2
452,1995,12,"Spain","ES",5,"Luxembourg","LU",1
453,1995,12,"Spain","ES",6,"Netherlands","NL",8
454,1995,12,"Spain","ES",9,"United Kingdom","UK",2
455,1995,12,"Spain","ES",10,"Greece","EL",1
456,1995,13,"Austria","AT",2,"France","FR",1
457,1995,13,"Austria","AT",3,"Germany","DE",3
458,1995,13,"Austria","AT",4,"Italy","IT",11
459,1995,13,"Austria","AT",6,"Netherlands","NL",4
460,1995,13,"Austria","AT",9,"United Kingdom","UK",1
461,1995,13,"Austria","AT",10,"Greece","EL",1
462,1995,13,"Austria","AT",12,"Spain","ES",2
463,1995,13,"Austria","AT",15,"Sweden","SE",1
464,1995,14,"Finland","FI",3,"Germany","DE",1
465,1995,14,"Finland","FI",4,"Italy","IT",1
466,1995,15,"Sweden","SE",9,"United Kingdom","UK",1
467,1995,34,"Commission","EC",1,"Belgium","BE",11
468,1995,34,"Commission","EC",2,"France","FR",29
469,1995,34,"Commission","EC",3,"Germany","DE",10
470,1995,34,"Commission","EC",4,"Italy","IT",7
471,1995,34,"Commission","EC",6,"Netherlands","NL",9
472,1995,34,"Commission","EC",7,"Denmark","DK",10
473,1995,34,"Commission","EC",8,"Ireland","IE",1
474,1995,34,"Commission","EC",9,"United Kingdom","UK",4
475,1995,34,"Commission","EC",10,"Greece","EL",1
476,1995,34,"Commission","EC",11,"Portugal","PT",2
477,1995,34,"Commission","EC",12,"Spain","ES",7
478,1995,34,"Commission","EC",13,"Austria","AT",7
479,1995,34,"Commission","EC",14,"Finland","FI",6
480,1995,34,"Commission","EC",15,"Sweden","SE",3
481,1995,34,"Commission","EC",31,"Norway","NO",6
482,1995,34,"Commission","EC",32,"Switzerland","CH",8
483,1995,35,"European Free Trade Association","EFTA",1,"Belgium","BE",2
484,1995,35,"European Free Trade Association","EFTA",4,"Italy","IT",1
