"key_ID","notification_ID","notification_by","start_date","start_year","end_date","end_year","comment_ID","comment_by"
192,"TRIS:1990:0085:DE:N","Germany",1990-04-10,1990,1990-10-22,1990,"TRIS:1990:0085:DE:C:EC","Commission"
193,"TRIS:1990:0086:DE:N","Germany",1990-04-10,1990,1990-10-29,1990,"TRIS:1990:0086:DE:C:EC","Commission"
194,"TRIS:1990:0087:FR:N","France",1990-04-11,1990,1990-07-18,1990,"TRIS:1990:0087:FR:C:EC","Commission"
195,"TRIS:1990:0087:FR:N","France",1990-04-11,1990,1990-07-18,1990,"TRIS:1990:0087:FR:C:ES","Spain"
196,"TRIS:1990:0091:DE:N","Germany",1990-04-11,1990,1990-07-23,1990,"TRIS:1990:0091:DE:C:EC","Commission"
197,"TRIS:1990:0093:FR:N","France",1990-04-11,1990,1990-07-18,1990,"TRIS:1990:0093:FR:C:EC","Commission"
198,"TRIS:1990:0093:FR:N","France",1990-04-11,1990,1990-07-18,1990,"TRIS:1990:0093:FR:C:ES","Spain"
199,"TRIS:1990:0094:FR:N","France",1990-04-11,1990,1990-07-18,1990,"TRIS:1990:0094:FR:C:ES","Spain"
200,"TRIS:1990:0095:BE:N","Belgium",1990-04-23,1990,1990-10-29,1990,"TRIS:1990:0095:BE:C:DK","Denmark"
201,"TRIS:1990:0092:IT:N","Italy",1990-04-26,1990,1990-10-26,1990,"TRIS:1990:0092:IT:C:FR","France"
