"key_ID","notification_ID","notification_by","start_date","start_year","end_date","end_year","response_ID","response_type","response_by"
146,"TRIS:1989:0174:DE:N","Germany",1989-07-20,1989,1990-02-08,1990,"TRIS:1989:0174:DE:C:EC","opinion","Commission"
147,"TRIS:1989:0176:UK:N","United Kingdom",1989-07-24,1989,1989-12-08,1989,"TRIS:1989:0176:UK:C:DE","comment","Germany"
148,"TRIS:1989:0176:UK:N","United Kingdom",1989-07-24,1989,1989-12-08,1989,"TRIS:1989:0176:UK:C:EC","comment","Commission"
149,"TRIS:1989:0177:UK:N","United Kingdom",1989-07-24,1989,1990-03-08,1990,"TRIS:1989:0177:UK:C:DE","opinion","Germany"
150,"TRIS:1989:0177:UK:N","United Kingdom",1989-07-24,1989,1990-03-08,1990,"TRIS:1989:0177:UK:C:EC","comment","Commission"
151,"TRIS:1989:0177:UK:N","United Kingdom",1989-07-24,1989,1990-03-08,1990,"TRIS:1989:0177:UK:C:ES","comment","Spain"
152,"TRIS:1989:0177:UK:N","United Kingdom",1989-07-24,1989,1990-03-08,1990,"TRIS:1989:0177:UK:C:FR","opinion","France"
153,"TRIS:1989:0178:PT:N","Portugal",1989-07-24,1989,1989-11-09,1989,"TRIS:1989:0178:PT:C:ES","comment","Spain"
154,"TRIS:1989:0179:DE:N","Germany",1989-07-25,1989,1990-02-05,1990,"TRIS:1989:0179:DE:C:BE","opinion","Belgium"
155,"TRIS:1989:0179:DE:N","Germany",1989-07-25,1989,1990-02-05,1990,"TRIS:1989:0179:DE:C:DK","comment","Denmark"
156,"TRIS:1989:0179:DE:N","Germany",1989-07-25,1989,1990-02-05,1990,"TRIS:1989:0179:DE:C:EC","opinion","Commission"
157,"TRIS:1989:0179:DE:N","Germany",1989-07-25,1989,1990-02-05,1990,"TRIS:1989:0179:DE:C:FR","opinion","France"
158,"TRIS:1989:0179:DE:N","Germany",1989-07-25,1989,1990-02-05,1990,"TRIS:1989:0179:DE:C:UK","comment","United Kingdom"
159,"TRIS:1989:0180:FR:N","France",1989-07-26,1989,1990-01-29,1990,"TRIS:1989:0180:FR:C:EC","comment","Commission"
160,"TRIS:1989:0180:FR:N","France",1989-07-26,1989,1990-01-29,1990,"TRIS:1989:0180:FR:C:UK","opinion","United Kingdom"
161,"TRIS:1989:0188:DE:N","Germany",1989-08-04,1989,1990-02-19,1990,"TRIS:1989:0188:DE:C:EC","opinion","Commission"
162,"TRIS:1989:0189:DE:N","Germany",1989-08-07,1989,1990-03-23,1990,"TRIS:1989:0189:DE:C:EC","opinion","Commission"
163,"TRIS:1989:0190:DE:N","Germany",1989-08-07,1989,1990-02-23,1990,"TRIS:1989:0190:DE:C:EC","opinion","Commission"
