"key_ID","year","comment_by_ID","comment_by","comment_by_code","count_comments"
555,2010,15,"Sweden","SE",1
556,2010,16,"Cyprus","CY",0
557,2010,17,"Czech Republic","CZ",7
558,2010,18,"Estonia","EE",0
559,2010,19,"Hungary","HU",5
560,2010,20,"Latvia","LV",0
561,2010,21,"Lithuania","LT",2
562,2010,22,"Malta","MT",5
563,2010,23,"Poland","PL",3
564,2010,24,"Slovakia","SK",2
565,2010,25,"Slovenia","SI",3
566,2010,26,"Bulgaria","BG",0
567,2010,27,"Romania","RO",7
568,2010,29,"Iceland","IS",0
569,2010,30,"Liechtenstein","LI",0
570,2010,31,"Norway","NO",0
571,2010,32,"Switzerland","CH",0
572,2010,33,"Turkey","TR",0
573,2010,34,"Commission","EC",117
574,2010,35,"European Free Trade Association","EFTA",0
575,2011,1,"Belgium","BE",1
576,2011,2,"France","FR",11
577,2011,3,"Germany","DE",27
578,2011,4,"Italy","IT",22
579,2011,5,"Luxembourg","LU",0
580,2011,6,"Netherlands","NL",4
581,2011,7,"Denmark","DK",1
582,2011,8,"Ireland","IE",0
583,2011,9,"United Kingdom","UK",11
584,2011,10,"Greece","EL",0
585,2011,11,"Portugal","PT",3
586,2011,12,"Spain","ES",10
587,2011,13,"Austria","AT",5
588,2011,14,"Finland","FI",5
589,2011,15,"Sweden","SE",1
590,2011,16,"Cyprus","CY",0
591,2011,17,"Czech Republic","CZ",18
592,2011,18,"Estonia","EE",0
593,2011,19,"Hungary","HU",1
594,2011,20,"Latvia","LV",0
595,2011,21,"Lithuania","LT",1
596,2011,22,"Malta","MT",2
597,2011,23,"Poland","PL",5
598,2011,24,"Slovakia","SK",17
599,2011,25,"Slovenia","SI",4
600,2011,26,"Bulgaria","BG",0
601,2011,27,"Romania","RO",0
602,2011,29,"Iceland","IS",0
603,2011,30,"Liechtenstein","LI",0
604,2011,31,"Norway","NO",0
605,2011,32,"Switzerland","CH",0
606,2011,33,"Turkey","TR",0
607,2011,34,"Commission","EC",153
608,2011,35,"European Free Trade Association","EFTA",0
609,2012,1,"Belgium","BE",2
610,2012,2,"France","FR",17
611,2012,3,"Germany","DE",57
612,2012,4,"Italy","IT",20
613,2012,5,"Luxembourg","LU",0
614,2012,6,"Netherlands","NL",4
615,2012,7,"Denmark","DK",1
616,2012,8,"Ireland","IE",1
617,2012,9,"United Kingdom","UK",3
618,2012,10,"Greece","EL",0
619,2012,11,"Portugal","PT",4
620,2012,12,"Spain","ES",23
621,2012,13,"Austria","AT",9
622,2012,14,"Finland","FI",1
623,2012,15,"Sweden","SE",2
624,2012,16,"Cyprus","CY",0
625,2012,17,"Czech Republic","CZ",12
626,2012,18,"Estonia","EE",0
627,2012,19,"Hungary","HU",7
628,2012,20,"Latvia","LV",0
629,2012,21,"Lithuania","LT",0
630,2012,22,"Malta","MT",1
631,2012,23,"Poland","PL",5
