"key_ID","notification_ID","notification_by_ID","notification_by","notification_by_code","start_date","start_year","end_date","end_year","comment_ID","comment_by_ID","comment_by","comment_by_code"
137,"TRIS:1989:0302:NL:N",6,"Netherlands","NL",1989-12-07,1989,1990-05-03,1990,"TRIS:1989:0302:NL:C:FR",2,"France","FR"
138,"TRIS:1989:0303:NL:N",6,"Netherlands","NL",1989-12-07,1989,1990-05-03,1990,"TRIS:1989:0303:NL:C:FR",2,"France","FR"
139,"TRIS:1989:0305:IT:N",4,"Italy","IT",1989-12-14,1989,1990-09-17,1990,"TRIS:1989:0305:IT:C:FR",2,"France","FR"
140,"TRIS:1989:0307:FR:N",2,"France","FR",1989-12-19,1989,1990-07-30,1990,"TRIS:1989:0307:FR:C:ES",12,"Spain","ES"
141,"TRIS:1989:0309:DE:N",3,"Germany","DE",1989-12-20,1989,1990-04-04,1990,"TRIS:1989:0309:DE:C:ES",12,"Spain","ES"
142,"TRIS:1989:0314:UK:N",9,"United Kingdom","UK",1989-12-22,1989,1990-03-29,1990,"TRIS:1989:0314:UK:C:FR",2,"France","FR"
143,"TRIS:1989:0317:ES:N",12,"Spain","ES",1989-12-22,1989,1990-08-07,1990,"TRIS:1989:0317:ES:C:EC",34,"Commission","EC"
144,"TRIS:1989:0317:ES:N",12,"Spain","ES",1989-12-22,1989,1990-08-07,1990,"TRIS:1989:0317:ES:C:UK",9,"United Kingdom","UK"
145,"TRIS:1989:0315:IT:N",4,"Italy","IT",1989-12-27,1989,1990-06-25,1990,"TRIS:1989:0315:IT:C:FR",2,"France","FR"
146,"TRIS:1989:0313:UK:N",9,"United Kingdom","UK",1989-12-28,1989,1990-06-29,1990,"TRIS:1989:0313:UK:C:FR",2,"France","FR"
147,"TRIS:1990:0001:DE:N",3,"Germany","DE",1990-01-05,1990,1990-05-16,1990,"TRIS:1990:0001:DE:C:FR",2,"France","FR"
148,"TRIS:1990:0002:UK:N",9,"United Kingdom","UK",1990-01-11,1990,1990-07-17,1990,"TRIS:1990:0002:UK:C:FR",2,"France","FR"
149,"TRIS:1990:0007:FR:N",2,"France","FR",1990-01-18,1990,1991-01-21,1991,"TRIS:1990:0007:FR:C:ES",12,"Spain","ES"
150,"TRIS:1990:0008:FR:N",2,"France","FR",1990-01-18,1990,1990-04-25,1990,"TRIS:1990:0008:FR:C:EC",34,"Commission","EC"
151,"TRIS:1990:0009:ES:N",12,"Spain","ES",1990-01-22,1990,1991-01-28,1991,"TRIS:1990:0009:ES:C:EC",34,"Commission","EC"
152,"TRIS:1990:0011:BE:N",1,"Belgium","BE",1990-01-24,1990,1990-07-27,1990,"TRIS:1990:0011:BE:C:DE",3,"Germany","DE"
153,"TRIS:1990:0011:BE:N",1,"Belgium","BE",1990-01-24,1990,1990-07-27,1990,"TRIS:1990:0011:BE:C:UK",9,"United Kingdom","UK"
154,"TRIS:1990:0014:DE:N",3,"Germany","DE",1990-01-30,1990,1990-08-07,1990,"TRIS:1990:0014:DE:C:FR",2,"France","FR"
155,"TRIS:1990:0016:DE:N",3,"Germany","DE",1990-02-02,1990,1990-05-10,1990,"TRIS:1990:0016:DE:C:NL",6,"Netherlands","NL"
156,"TRIS:1990:0021:IT:N",4,"Italy","IT",1990-02-07,1990,1990-08-20,1990,"TRIS:1990:0021:IT:C:DE",3,"Germany","DE"
157,"TRIS:1990:0021:IT:N",4,"Italy","IT",1990-02-07,1990,1990-08-20,1990,"TRIS:1990:0021:IT:C:NL",6,"Netherlands","NL"
158,"TRIS:1990:0023:EL:N",10,"Greece","EL",1990-02-12,1990,1990-08-10,1990,"TRIS:1990:0023:EL:C:DK",7,"Denmark","DK"
159,"TRIS:1990:0023:EL:N",10,"Greece","EL",1990-02-12,1990,1990-08-10,1990,"TRIS:1990:0023:EL:C:ES",12,"Spain","ES"
160,"TRIS:1990:0025:UK:N",9,"United Kingdom","UK",1990-02-14,1990,1990-05-21,1990,"TRIS:1990:0025:UK:C:DE",3,"Germany","DE"
161,"TRIS:1990:0027:FR:N",2,"France","FR",1990-02-19,1990,1990-12-03,1990,"TRIS:1990:0027:FR:C:NL",6,"Netherlands","NL"
162,"TRIS:1990:0029:FR:N",2,"France","FR",1990-02-19,1990,1990-12-03,1990,"TRIS:1990:0029:FR:C:NL",6,"Netherlands","NL"
163,"TRIS:1990:0030:FR:N",2,"France","FR",1990-02-19,1990,1990-12-03,1990,"TRIS:1990:0030:FR:C:UK",9,"United Kingdom","UK"
164,"TRIS:1990:0049:ES:N",12,"Spain","ES",1990-02-19,1990,1990-08-24,1990,"TRIS:1990:0049:ES:C:IE",8,"Ireland","IE"
165,"TRIS:1990:0034:DE:N",3,"Germany","DE",1990-02-22,1990,1990-06-07,1990,"TRIS:1990:0034:DE:C:EC",34,"Commission","EC"
166,"TRIS:1990:0035:ES:N",12,"Spain","ES",1990-02-23,1990,1991-03-04,1991,"TRIS:1990:0035:ES:C:IE",8,"Ireland","IE"
167,"TRIS:1990:0037:EL:N",10,"Greece","EL",1990-03-02,1990,1990-06-18,1990,"TRIS:1990:0037:EL:C:FR",2,"France","FR"
168,"TRIS:1990:0041:DE:N",3,"Germany","DE",1990-03-02,1990,1990-06-13,1990,"TRIS:1990:0041:DE:C:EC",34,"Commission","EC"
169,"TRIS:1990:0041:DE:N",3,"Germany","DE",1990-03-02,1990,1990-06-13,1990,"TRIS:1990:0041:DE:C:ES",12,"Spain","ES"
