"key_ID","notification_ID","notification_by","start_date","start_year","end_date","end_year","opinion_ID","opinion_by"
178,"TRIS:1989:0278:BE:N","Belgium",1989-11-22,1989,1990-05-28,1990,"TRIS:1989:0278:BE:C:EC","Commission"
179,"TRIS:1989:0278:BE:N","Belgium",1989-11-22,1989,1990-05-28,1990,"TRIS:1989:0278:BE:C:FR","France"
180,"TRIS:1989:0279:BE:N","Belgium",1989-11-22,1989,1990-05-28,1990,"TRIS:1989:0279:BE:C:EC","Commission"
181,"TRIS:1989:0280:FR:N","France",1989-11-22,1989,1990-05-28,1990,"TRIS:1989:0280:FR:C:UK","United Kingdom"
182,"TRIS:1989:0283:ES:N","Spain",1989-11-22,1989,1990-06-01,1990,"TRIS:1989:0283:ES:C:EC","Commission"
183,"TRIS:1989:0284:ES:N","Spain",1989-11-22,1989,1990-06-01,1990,"TRIS:1989:0284:ES:C:EC","Commission"
184,"TRIS:1989:0285:ES:N","Spain",1989-11-22,1989,1990-05-31,1990,"TRIS:1989:0285:ES:C:FR","France"
185,"TRIS:1989:0286:DE:N","Germany",1989-11-23,1989,1990-06-05,1990,"TRIS:1989:0286:DE:C:EC","Commission"
186,"TRIS:1989:0286:DE:N","Germany",1989-11-23,1989,1990-06-05,1990,"TRIS:1989:0286:DE:C:UK","United Kingdom"
187,"TRIS:1989:0287:DE:N","Germany",1989-11-23,1989,1990-06-05,1990,"TRIS:1989:0287:DE:C:EC","Commission"
188,"TRIS:1989:0288:DE:N","Germany",1989-11-23,1989,1990-06-20,1990,"TRIS:1989:0288:DE:C:FR","France"
189,"TRIS:1989:0289:DE:N","Germany",1989-11-23,1989,1990-12-20,1990,"TRIS:1989:0289:DE:C:FR","France"
190,"TRIS:1989:0289:DE:N","Germany",1989-11-23,1989,1990-12-20,1990,"TRIS:1989:0289:DE:C:UK","United Kingdom"
191,"TRIS:1989:0292:EL:N","Greece",1989-11-28,1989,1990-12-07,1990,"TRIS:1989:0292:EL:C:EC","Commission"
192,"TRIS:1989:0292:EL:N","Greece",1989-11-28,1989,1990-12-07,1990,"TRIS:1989:0292:EL:C:UK","United Kingdom"
193,"TRIS:1989:0293:EL:N","Greece",1989-11-28,1989,1990-12-07,1990,"TRIS:1989:0293:EL:C:IE","Ireland"
194,"TRIS:1989:0296:FR:N","France",1989-12-01,1989,1990-06-05,1990,"TRIS:1989:0296:FR:C:DE","Germany"
195,"TRIS:1989:0300:ES:N","Spain",1989-12-05,1989,1990-07-04,1990,"TRIS:1989:0300:ES:C:FR","France"
196,"TRIS:1989:0305:IT:N","Italy",1989-12-14,1989,1990-09-17,1990,"TRIS:1989:0305:IT:C:EC","Commission"
197,"TRIS:1989:0306:ES:N","Spain",1989-12-19,1989,1991-01-04,1991,"TRIS:1989:0306:ES:C:EC","Commission"
198,"TRIS:1989:0307:FR:N","France",1989-12-19,1989,1990-07-30,1990,"TRIS:1989:0307:FR:C:DE","Germany"
199,"TRIS:1989:0307:FR:N","France",1989-12-19,1989,1990-07-30,1990,"TRIS:1989:0307:FR:C:EC","Commission"
200,"TRIS:1989:0317:ES:N","Spain",1989-12-22,1989,1990-08-07,1990,"TRIS:1989:0317:ES:C:FR","France"
